"course_code","course_name","course_level","faculty","school","units","duration","class_hours","incompatible","prerequisite","recommended_prerequisite","assessment_methods"
"ENGG1300","Introduction to Electrical Systems","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 2 Hours/ Week; Practical 4 Hours/ Week","ENGG1030 or ENGG1060 or ELEC1000","Mathematical Methods, Maths B or MATH1040.",NA,"Examinations, Quizzes, Practical Skills"
"CSSE2002","Programming in the Large","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 2 Hours/ Week; Applied Class 1 Hour/ Week; Practical 2 Hours/ Week","COMP2500 or COMP7908 or CSSE7023","CSSE1001 or ENGG1001",NA,"Examinations, assignments, tutorials and practical problems"
"CSSE2010","Introduction to Computer Systems","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 2 Hours/ Week; Practical 4 Hours/ Week","COMP1300 or COMP2303 or COMP2302 or CSSE1000 or CSSE7035 or CSSE7201 or ELEC2002","CSSE1001 or ENGG1001",NA,"Assignments, laboratory work, quizzes, examinations"
"CSSE2310","Computer Systems Principles and Programming","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 3 Hours/ Week; Practical 2 Hours/ Week","COMP2303 or COMP7306 or CSSE7231","CSSE1001 or ENGG1001","CSSE2010","Assignments and examination"
"ELEC2004","Circuits, Signals and Systems","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 3 Hours/ Week; Applied Class 1 Hour/ Week; Practical 2 Hours/ Fortnight",NA,"ENGG1300",NA,"Assignments; laboratory work; examination."
"ELEC2300","Fundamentals of Electromagnetism and Electromechanics","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science, Mathematics & Physics School","2","One Semester","Tutorial 2 Hours/ Week; Practical 3 Hours/ Fortnight; Studio 3 Hours/ Week","ELEC2003","ENGG1300 and (MATH1051 or MATH1071) and (MATH1052 or MATH1072) and (PHYS1171 OR High School Physics)",NA,"Assignments and examinations."
"ELEC2400","Electronic Devices and Circuits","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 3 Hours/ Week; Tutorial 1 Hour/ Week; Practical 3 Hours/ Fortnight","ELEC3400","ENGG1300 and (MATH1051 or MATH1071) and (MATH1052 or MATH1072)",NA,NA
"ENGG2800","Team Project I","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 2 Hours/ Week; Practical 2 Hours/ Week",NA,"CSSE2010 and ENGG1300 and (CSSE1001 or ENGG1001)",NA,"Peer assessment of team members, team meetings, written reports, oral examination of team & product"
"MATH2001","Calculus & Linear Algebra II","Undergraduate","Science","Mathematics & Physics School","2","One Semester","Lecture 3 Hours/ Week; Applied Class 1 Hour/ Week; Summer Semester only: 6L2A","MATH2000, MATH2901 (advanced) and MATH7000 (co-taught).","(MATH1051 or MATH1071) and (MATH1052 or MATH1072)",NA,"Assignments and examinations"
"MATH2010","Analysis of Ordinary Differential Equations","Undergraduate","Science","Mathematics & Physics School","1","One Semester","Lecture 3 Hours/ Week; Applied Class 1 Hour/ Week; 3L1A (6 weeks)","MATH2100 (co-taught)","MATH1052 or MATH1072",NA,"Assignments & Examination"
"STAT2201","Analysis of Engineering & Scientific Data","Undergraduate","Science","Mathematics & Physics School","1","One Semester","Lecture 3 Hours/ Fortnight; Applied Class 1 Hour/ Fortnight; 3L/7 WEEKS 1A/6 WEEKS","ECON1310, ENVM2000, STAT1201, STAT1301, STAT2203.","MATH1050 or; a grade of C or higher in Queensland Year 12 Specialist Mathematics (Units 3 & 4) (or equivalent).",NA,"Assignments"
"COMP3506","Algorithms and Data Structures","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 2 Hours/ Week; Applied Class 2 Hours/ Week","COMP2502 or COMP7505","CSSE2002 and (MATH1061 or MATH1081 or MATH1051 or MATH1071)","CSSE2010","Assignments, online problems, examination"
"CSSE3010","Embedded Systems Design and Interfacing","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 2 Hours/ Week; Practical 3 Hours/ Week","CSSE4001 or CSSE7003 or CSSE7301","CSSE2010 and CSSE2310",NA,"Assignments, projects, examination"
"ELEC3004","Signals, Systems and Control","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 4 Hours/ Week; Practical 2 Hours/ Week","ELEC3600 or ELEC7312 or ELEC7601","ELEC2004 and (STAT2201 or STAT2202) and (MATH2000 or MATH2001 or MATH2901)",NA,"Assignments, practicals, examinations"
"ELEC3100","Fundamentals of Electromagnetic Fields and Waves","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Applied Class 2 Hours/ Week; Lecture 2 Hours/ Week","ELEC7101","(ELEC2003 or ELEC2300) and (MATH2000 or MATH2001 or MATH2901)",NA,"Laboratory & tutorial work, final examination"
"ENGG3800","Team Project II","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 1 Hour/ Week; Practical 2 Hours/ Week","ENGG4810","ENGG2800 and CSSE3010 and (ELEC2400 or ELEC3400)",NA,"Peer assessment of team members, team meetings, written reports, oral examination of team & product."
"CSSE4010","Digital System Design","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 2 Hours/ Week; Practical 2 Hours/ Week; Applied Class 1 Hour/ Week","CSSE2000 or CSSE3000 or CSSE7011 or CSSE7410","CSSE1000 or CSSE2010","CSSE2310 and CSSE3010","Practicals, project, research assignment, final exam"
"CSSE4011","Advanced Embedded Systems","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 2 Hours/ Week; Practical 3 Hours/ Week","CSSE4003 or CSSE7005 or CSSE7411","CSSE3010",NA,"Assignments, practicals, examinations"
