"course_code","out_degree","in_degree","downstream_count"
"CSSE1001",10,0,32
"ENGG1001",10,0,32
"MATH1051",5,0,20
"MATH1071",5,0,20
"CSSE2010",7,2,18
"MATH1052",4,0,17
"MATH1072",4,0,17
"CSSE2002",8,2,13
"ENGG1300",4,0,13
"CSSE2310",6,3,12
"MATH2001",3,4,12
"MATH2901",3,0,12
"MATH2000",2,0,11
"STAT2201",3,0,8
"STAT2202",3,0,8
"ELEC2004",2,1,8
"ELEC2300",2,0,7
"ELEC2003",2,0,7
"MATH1061",4,0,6
"MATH1081",4,0,6
"CSSE3010",5,2,5
"ELEC3004",4,6,5
"DECO1400",2,0,5
"ELEC3100",4,5,4
"COMP3506",3,6,3
"CSSE3200",3,1,3
"DECO2800",3,0,3
"COMP2303",2,0,3
"MECH2210",1,0,3
"METR4201",2,2,2
"COMP2140",2,3,2
"DECO2500",2,3,2
"ELEC7101",2,0,2
"DECO2850",2,0,2
"INFS1200",1,0,2
"CSSE7231",1,0,2
"ELEC2400",1,5,1
"ENGG2800",1,4,1
"MATH2010",1,2,1
"COMS4104",1,1,1
"ELEC3310",1,2,1
"ELEC4630",1,1,1
"COMS3200",1,2,1
"CYBR3000",1,2,1
"INFS2200",1,1,1
"ELEC3400",1,0,1
"CSSE1000",1,0,1
"CSSE7023",1,0,1
"BIOE3001",1,0,1
"ELEC4403",1,0,1
"BIOE6403",1,0,1
"ELEC4601",1,0,1
"BIOE6601",1,0,1
"ELEC7403",1,0,1
"ELEC7606",1,0,1
"COMS7104",1,0,1
"INFS7903",1,0,1
"STAT1201",1,0,1
"STAT1301",1,0,1
"STAT2003",1,0,1
"STAT2203",1,0,1
"PHYS3051",1,0,1
"PHYS7250",1,0,1
"ELEC3300",1,0,1
"METR3200",1,0,1
"METR7200",1,0,1
"CSSE7030",1,0,1
"MATH7861",1,0,1
"COSC2500",1,0,1
"PHYS3071",1,0,1
"MATH2504",1,0,1
"DECO1800",1,0,1
"DECO2840",1,0,1
"ENGG3800",0,4,0
"CSSE4010",0,4,0
"CSSE4011",0,1,0
"CSSE7610",0,2,0
"ENGG7291",0,0,0
"ENGG4901",0,0,0
"ENGG4902",0,0,0
"BIOE6901",0,1,0
"BIOE7902",0,7,0
"COMS7305",0,4,0
"COMS7309",0,2,0
"ENGG7302",0,5,0
"INFS7410",0,2,0
"REIT6811",0,0,0
"COMP4403",0,2,0
"COMP4500",0,1,0
"COMP4702",0,10,0
"COMS4105",0,2,0
"COMS4113",0,3,0
"COMS4507",0,1,0
"COMS6200",0,1,0
"CSSE6400",0,2,0
"ELEC4310",0,2,0
"ELEC4620",0,2,0
"METR4202",0,5,0
"METR6203",0,2,0
"COMP3301",0,2,0
"COMP3702",0,7,0
"COMP3710",0,9,0
"COSC3500",0,6,0
"CSSE3012",0,6,0
"CSSE3100",0,3,0
"DECO3800",0,6,0
"DECO3801",0,2,0
"ENGG4800",0,0,0
"METR3100",0,1,0
