"course_code","field","raw_text","logic_tree"
"CSSE2002","prerequisite","CSSE1001 or ENGG1001","{""op"":""or"",""args"":[""CSSE1001"",""ENGG1001""]}"
"CSSE2010","prerequisite","CSSE1001 or ENGG1001","{""op"":""or"",""args"":[""CSSE1001"",""ENGG1001""]}"
"CSSE2310","prerequisite","CSSE1001 or ENGG1001","{""op"":""or"",""args"":[""CSSE1001"",""ENGG1001""]}"
"CSSE2310","recommended_prerequisite","CSSE2010","""CSSE2010"""
"ELEC2004","prerequisite","ENGG1300","""ENGG1300"""
"ELEC2400","prerequisite","ENGG1300 and (MATH1051 or MATH1071) and (MATH1052 or MATH1072)","{""op"":""and"",""args"":[""ENGG1300"",{""op"":""or"",""args"":[""MATH1051"",""MATH1071""]},{""op"":""or"",""args"":[""MATH1052"",""MATH1072""]}]}"
"ENGG2800","prerequisite","CSSE2010 and ENGG1300 and (CSSE1001 or ENGG1001)","{""op"":""and"",""args"":[""CSSE2010"",""ENGG1300"",{""op"":""or"",""args"":[""CSSE1001"",""ENGG1001""]}]}"
"MATH2001","prerequisite","(MATH1051 or MATH1071) and (MATH1052 or MATH1072)","{""op"":""and"",""args"":[{""op"":""or"",""args"":[""MATH1051"",""MATH1071""]},{""op"":""or"",""args"":[""MATH1052"",""MATH1072""]}]}"
"MATH2010","prerequisite","MATH1052 or MATH1072","{""op"":""or"",""args"":[""MATH1052"",""MATH1072""]}"
"COMP3506","prerequisite","CSSE2002 and (MATH1061 or MATH1081 or MATH1051 or MATH1071)","{""op"":""and"",""args"":[""CSSE2002"",{""op"":""or"",""args"":[""MATH1061"",""MATH1081"",""MATH1051"",""MATH1071""]}]}"
"COMP3506","recommended_prerequisite","CSSE2010","""CSSE2010"""
"CSSE3010","prerequisite","CSSE2010 and CSSE2310","{""op"":""and"",""args"":[""CSSE2010"",""CSSE2310""]}"
"ELEC3004","prerequisite","ELEC2004 and (STAT2201 or STAT2202) and (MATH2000 or MATH2001 or MATH2901)","{""op"":""and"",""args"":[""ELEC2004"",{""op"":""or"",""args"":[""STAT2201"",""STAT2202""]},{""op"":""or"",""args"":[""MATH2000"",""MATH2001"",""MATH2901""]}]}"
"ELEC3100","prerequisite","(ELEC2003 or ELEC2300) and (MATH2000 or MATH2001 or MATH2901)","{""op"":""and"",""args"":[{""op"":""or"",""args"":[""ELEC2003"",""ELEC2300""]},{""op"":""or"",""args"":[""MATH2000"",""MATH2001"",""MATH2901""]}]}"
"ENGG3800","prerequisite","ENGG2800 and CSSE3010 and (ELEC2400 or ELEC3400)","{""op"":""and"",""args"":[""ENGG2800"",""CSSE3010"",{""op"":""or"",""args"":[""ELEC2400"",""ELEC3400""]}]}"
"CSSE4010","prerequisite","CSSE1000 or CSSE2010","{""op"":""or"",""args"":[""CSSE1000"",""CSSE2010""]}"
"CSSE4010","recommended_prerequisite","CSSE2310 and CSSE3010","{""op"":""and"",""args"":[""CSSE2310"",""CSSE3010""]}"
"CSSE4011","prerequisite","CSSE3010","""CSSE3010"""
"METR4201","prerequisite","MECH2210 or ELEC2004","{""op"":""or"",""args"":[""MECH2210"",""ELEC2004""]}"
"CSSE7610","prerequisite","CSSE2002 or CSSE7023","{""op"":""or"",""args"":[""CSSE2002"",""CSSE7023""]}"
"BIOE6901","prerequisite","BIOE3001","""BIOE3001"""
"BIOE7902","recommended_prerequisite","(ELEC4403 or BIOE6403) or (ELEC4601 or BIOE6601), or ELEC4630, or ELEC7403, or ELEC7606","{""op"":""or"",""args"":[{""op"":""or"",""args"":[""ELEC4403"",""BIOE6403""]},{""op"":""or"",""args"":[""ELEC4601"",""BIOE6601""]},""ELEC4630"",""ELEC7403"",""ELEC7606""]}"
"COMS7305","prerequisite","ELEC3100 or ELEC7101","{""op"":""or"",""args"":[""ELEC3100"",""ELEC7101""]}"
"COMS7305","recommended_prerequisite","COMS4104 OR COMS7104","{""op"":""or"",""args"":[""COMS4104"",""COMS7104""]}"
"COMS7309","prerequisite","ELEC3100 or ELEC7101","{""op"":""or"",""args"":[""ELEC3100"",""ELEC7101""]}"
"ENGG7302","prerequisite","(MATH2001 or MATH2901) and MATH2010 and (STAT2201 or STAT2202)","{""op"":""and"",""args"":[{""op"":""or"",""args"":[""MATH2001"",""MATH2901""]},""MATH2010"",{""op"":""or"",""args"":[""STAT2201"",""STAT2202""]}]}"
"INFS7410","prerequisite","INFS2200 or INFS7903","{""op"":""or"",""args"":[""INFS2200"",""INFS7903""]}"
"COMP4403","prerequisite","COMP3506","""COMP3506"""
"COMP4403","recommended_prerequisite","CSSE2010","""CSSE2010"""
"COMP4500","prerequisite","COMP3506","""COMP3506"""
