"course_code","course_name"
"ENGG1300","Introduction to Electrical Systems"
"CSSE2002","Programming in the Large"
"CSSE2010","Introduction to Computer Systems"
"CSSE2310","Computer Systems Principles and Programming"
"ELEC2004","Circuits, Signals and Systems"
"ELEC2300","Fundamentals of Electromagnetism and Electromechanics"
"ELEC2400","Electronic Devices and Circuits"
"ENGG2800","Team Project I"
"MATH2001","Calculus & Linear Algebra II"
"MATH2010","Analysis of Ordinary Differential Equations"
"STAT2201","Analysis of Engineering & Scientific Data"
"COMP3506","Algorithms and Data Structures"
"CSSE3010","Embedded Systems Design and Interfacing"
"ELEC3004","Signals, Systems and Control"
"ELEC3100","Fundamentals of Electromagnetic Fields and Waves"
"ENGG3800","Team Project II"
"CSSE4010","Digital System Design"
"CSSE4011","Advanced Embedded Systems"
"METR4201","Control Engineering 1"
"CSSE7610","Concurrency: Theory and Practice"
"ENGG7291","Engineering Placement A"
"ENGG4901","Professional Practice and the Business Environment A"
"ENGG4902","Professional Practice and the Business Environment B"
"BIOE6901","Medical Device Engineering"
"BIOE7902","Biomedical Signal Processing"
"COMS7305","Advanced Microwave Engineering"
"COMS7309","Computational Techniques in Electromagnetics"
"ENGG7302","Advanced Computational Techniques in Engineering"
"INFS7410","Information Retrieval and Web Search"
"REIT6811","Research Methods"
"COMP4403","Compilers and Interpreters"
"COMP4500","Advanced Algorithms and Data Structures"
"COMP4702","Machine Learning"
"COMS4104","Microwave Engineering"
"COMS4105","Communication Systems"
"COMS4113","Photonics"
"COMS4507","Advanced Topics in Security"
"COMS6200","Computer Networks II"
"CSSE6400","Software Architecture"
"ELEC3310","Electrical Energy Conversion and Utilisation"
"ELEC4310","Power Systems Analysis"
"ELEC4620","Digital Signal Processing"
"ELEC4630","Computer Vision and Deep Learning"
"METR4202","Robotics and Automation"
"METR6203","Control Engineering 2"
"COMP2140","Web/Mobile Programming"
"COMP3301","Operating Systems Architecture"
"COMP3702","Artificial Intelligence"
"COMP3710","Pattern Recognition and Analysis"
"COMS3200","Computer Networks I"
"COSC3500","High-Performance Computing"
"CSSE3012","The Software Process"
"CSSE3100","Reasoning About Programs"
"CSSE3200","Software Engineering Studio: Design, Implement and Test"
"CYBR3000","Information Security"
"DECO1400","Introduction to Web Design"
"DECO2500","Human-Computer Interaction"
"DECO3800","Design Computing Studio 3 - Proposal"
"DECO3801","Design Computing Studio 3 - Build"
"ENGG4800","Project Management"
"INFS1200","Introduction to Information Systems"
"INFS2200","Relational Database Systems"
"METR3100","Control System Implementation"
