"course_code","prereq_code","field"
"CSSE2002","CSSE1001","prerequisite"
"CSSE2002","ENGG1001","prerequisite"
"CSSE2010","CSSE1001","prerequisite"
"CSSE2010","ENGG1001","prerequisite"
"CSSE2310","CSSE1001","prerequisite"
"CSSE2310","ENGG1001","prerequisite"
"CSSE2310","CSSE2010","recommended_prerequisite"
"ELEC2004","ENGG1300","prerequisite"
"ELEC2400","ENGG1300","prerequisite"
"ELEC2400","MATH1051","prerequisite"
"ELEC2400","MATH1071","prerequisite"
"ELEC2400","MATH1052","prerequisite"
"ELEC2400","MATH1072","prerequisite"
"ENGG2800","CSSE2010","prerequisite"
"ENGG2800","ENGG1300","prerequisite"
"ENGG2800","CSSE1001","prerequisite"
"ENGG2800","ENGG1001","prerequisite"
"MATH2001","MATH1051","prerequisite"
"MATH2001","MATH1071","prerequisite"
"MATH2001","MATH1052","prerequisite"
"MATH2001","MATH1072","prerequisite"
"MATH2010","MATH1052","prerequisite"
"MATH2010","MATH1072","prerequisite"
"COMP3506","CSSE2002","prerequisite"
"COMP3506","MATH1061","prerequisite"
"COMP3506","MATH1081","prerequisite"
"COMP3506","MATH1051","prerequisite"
"COMP3506","MATH1071","prerequisite"
"COMP3506","CSSE2010","recommended_prerequisite"
"CSSE3010","CSSE2010","prerequisite"
"CSSE3010","CSSE2310","prerequisite"
"ELEC3004","ELEC2004","prerequisite"
"ELEC3004","STAT2201","prerequisite"
"ELEC3004","STAT2202","prerequisite"
"ELEC3004","MATH2000","prerequisite"
"ELEC3004","MATH2001","prerequisite"
"ELEC3004","MATH2901","prerequisite"
"ELEC3100","ELEC2003","prerequisite"
"ELEC3100","ELEC2300","prerequisite"
"ELEC3100","MATH2000","prerequisite"
"ELEC3100","MATH2001","prerequisite"
"ELEC3100","MATH2901","prerequisite"
"ENGG3800","ENGG2800","prerequisite"
"ENGG3800","CSSE3010","prerequisite"
"ENGG3800","ELEC2400","prerequisite"
"ENGG3800","ELEC3400","prerequisite"
"CSSE4010","CSSE1000","prerequisite"
"CSSE4010","CSSE2010","prerequisite"
"CSSE4010","CSSE2310","recommended_prerequisite"
"CSSE4010","CSSE3010","recommended_prerequisite"
"CSSE4011","CSSE3010","prerequisite"
"METR4201","MECH2210","prerequisite"
"METR4201","ELEC2004","prerequisite"
"CSSE7610","CSSE2002","prerequisite"
"CSSE7610","CSSE7023","prerequisite"
"BIOE6901","BIOE3001","prerequisite"
"BIOE7902","ELEC4403","recommended_prerequisite"
"BIOE7902","BIOE6403","recommended_prerequisite"
"BIOE7902","ELEC4601","recommended_prerequisite"
"BIOE7902","BIOE6601","recommended_prerequisite"
"BIOE7902","ELEC4630","recommended_prerequisite"
"BIOE7902","ELEC7403","recommended_prerequisite"
"BIOE7902","ELEC7606","recommended_prerequisite"
"COMS7305","ELEC3100","prerequisite"
"COMS7305","ELEC7101","prerequisite"
"COMS7305","COMS4104","recommended_prerequisite"
"COMS7305","COMS7104","recommended_prerequisite"
"COMS7309","ELEC3100","prerequisite"
"COMS7309","ELEC7101","prerequisite"
"ENGG7302","MATH2001","prerequisite"
"ENGG7302","MATH2901","prerequisite"
"ENGG7302","MATH2010","prerequisite"
"ENGG7302","STAT2201","prerequisite"
"ENGG7302","STAT2202","prerequisite"
"INFS7410","INFS2200","prerequisite"
"INFS7410","INFS7903","prerequisite"
"COMP4403","COMP3506","prerequisite"
"COMP4403","CSSE2010","recommended_prerequisite"
"COMP4500","COMP3506","prerequisite"
"COMP4702","CSSE1001","prerequisite"
"COMP4702","ENGG1001","prerequisite"
"COMP4702","MATH1051","prerequisite"
"COMP4702","MATH1071","prerequisite"
"COMP4702","STAT1201","prerequisite"
"COMP4702","STAT1301","prerequisite"
"COMP4702","STAT2003","prerequisite"
"COMP4702","STAT2201","prerequisite"
"COMP4702","STAT2202","prerequisite"
"COMP4702","STAT2203","prerequisite"
"COMS4104","ELEC3100","prerequisite"
"COMS4105","CSSE3010","prerequisite"
"COMS4105","ELEC3004","prerequisite"
"COMS4113","ELEC3100","prerequisite"
"COMS4113","PHYS3051","prerequisite"
"COMS4113","PHYS7250","prerequisite"
"COMS4507","CYBR3000","prerequisite"
"COMS6200","COMS3200","prerequisite"
"CSSE6400","CSSE3200","prerequisite"
"CSSE6400","DECO2800","prerequisite"
"ELEC3310","ELEC2003","prerequisite"
"ELEC3310","ELEC2300","prerequisite"
"ELEC4310","ELEC3300","prerequisite"
"ELEC4310","ELEC3310","prerequisite"
"ELEC4620","ELEC3004","prerequisite"
"ELEC4620","CSSE3010","recommended_prerequisite"
"ELEC4630","ELEC3004","prerequisite"
"METR4202","ENGG1001","prerequisite"
"METR4202","CSSE1001","prerequisite"
"METR4202","ELEC3004","prerequisite"
"METR4202","METR3200","prerequisite"
"METR4202","METR4201","prerequisite"
"METR6203","METR4201","prerequisite"
"METR6203","METR7200","prerequisite"
"COMP2140","DECO1400","prerequisite"
"COMP2140","CSSE1001","prerequisite"
"COMP2140","ENGG1001","prerequisite"
"COMP3301","COMP2303","prerequisite"
"COMP3301","CSSE2310","prerequisite"
"COMP3702","CSSE1001","prerequisite"
"COMP3702","CSSE7030","prerequisite"
"COMP3702","ENGG1001","prerequisite"
"COMP3702","MATH1061","recommended_prerequisite"
"COMP3702","MATH1081","recommended_prerequisite"
"COMP3702","MATH7861","recommended_prerequisite"
"COMP3702","CSSE2002","recommended_prerequisite"
"COMP3710","MATH1051","prerequisite"
"COMP3710","MATH1071","prerequisite"
"COMP3710","CSSE1001","prerequisite"
"COMP3710","ENGG1001","prerequisite"
"COMP3710","MATH1052","recommended_prerequisite"
"COMP3710","MATH1072","recommended_prerequisite"
"COMP3710","MATH1061","recommended_prerequisite"
"COMP3710","MATH1081","recommended_prerequisite"
"COMP3710","COMP3506","recommended_prerequisite"
"COMS3200","COMP2303","prerequisite"
"COMS3200","CSSE2310","prerequisite"
"COSC3500","COSC2500","prerequisite"
"COSC3500","CSSE2002","prerequisite"
"COSC3500","CSSE2010","prerequisite"
"COSC3500","CSSE2310","prerequisite"
"COSC3500","PHYS3071","prerequisite"
"COSC3500","MATH2504","prerequisite"
"CSSE3012","COMP2140","prerequisite"
"CSSE3012","CSSE2002","prerequisite"
"CSSE3012","DECO2500","prerequisite"
"CSSE3012","DECO2800","prerequisite"
"CSSE3012","DECO2850","prerequisite"
"CSSE3012","CSSE3200","prerequisite"
"CSSE3100","MATH1061","prerequisite"
"CSSE3100","MATH1081","prerequisite"
"CSSE3100","CSSE2002","prerequisite"
"CSSE3200","CSSE2002","prerequisite"
"CYBR3000","CSSE2310","prerequisite"
"CYBR3000","CSSE7231","prerequisite"
"DECO2500","DECO1400","prerequisite"
"DECO2500","CSSE1001","prerequisite"
"DECO2500","ENGG1001","prerequisite"
"DECO3800","DECO2500","prerequisite"
"DECO3800","DECO1800","prerequisite"
"DECO3800","DECO2800","prerequisite"
"DECO3800","DECO2840","prerequisite"
"DECO3800","DECO2850","prerequisite"
"DECO3800","CSSE3200","prerequisite"
"DECO3801","CSSE2002","prerequisite"
"DECO3801","COMP2140","prerequisite"
"INFS2200","INFS1200","prerequisite"
"METR3100","ENGG1300","recommended_prerequisite"
